1,Th,Sep,4,myblue,Lecture 1,Course introduction
2,M,Sep,8,myblue,Lecture 2,Sea-floor depth and heat flow
,W,Sep,10,myskyblue,Assignment due,Writing topic
,Th,Sep,11,mygreen2,Workshop 1,Key papers discussion
3,M,Sep,15,mygreen2,Workshop 1 (continued),Key papers discussion
,W,Sep,17,myskyblue,Assignment due,Draft progress
,Th,Sep,18,myblue,Lecture 3,Sea-floor depth and heat flow 
4,M,Sep,22,myblue,Lecture 4,Sea-floor depth and heat flow
,W,Sep,24,myskyblue,Assignment due,First draft
,Th,Sep,25,mygreen2,Workshop 2,Fundamentals
5,M,Sep,29,mygreen2,Workshop 2 (continued),Fundamentals
,Th,Oct,2,myblue,Lecture 5,Hot spots and other seamounts
6,M,Oct,6,myblue,Lecture 6,Hot spots and other seamounts
,W,Oct,8,myskyblue,Assignment due,Workshop 2 revisions
,Th,Oct,9,mygreen2,Workshop 3,Openings and structure
7,M,Oct,13,myred,,\emph{Thanksgiving Day}
,Th,Oct,16,myred,,\emph{Cancelled: Blake out of town}
8,M,Oct,20,myblue,Lecture 7,Hot spots and other seamounts
,W,Oct,22,myskyblue,Assignment due,Pre-workshop revisions
,Th,Oct,23,mygreen2,Workshop 4,TBA
9,M,Oct,27,myblue,Lecture 8,Coastal geology exercise
,W,Oct,29,myskyblue,Assignment due,Pre-workshop revisions
,Th,Oct,30,mygreen2,Workshop 5,Nested arcs
10,M,Nov,3,myblue,Lecture 9,Sea level change
,W,Nov,5,myskyblue,Assignment due,Pre-workshop revisions
,Th,Nov,6,mygreen2,Workshop 6, Building blocks and flow
11,M,Nov,10,myred,,\emph{Reading break}
,W,Nov,12,myskyblue,Assignment due,Pre-workshop revisions
,Th,Nov,13,mygreen2,Workshop 7,Energy and words
12,M,Nov,17,mygreen2,Workshop 8,Condensing
,Th,Nov,20,myskyblue,Exam,Marine Geology
13,M,Nov,24,myorange,,Student presentations
,Th,Nov,27,myorange,,Student presentations
14,M,Dec,1,myorange,,Student presentations
,W,Dec,3,myskyblue,Assignment due,Final paper
